epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
39,2975.42,1.79828,1.3515,0.9725,0.32743,0.24526,0.22309,0.11796,1.69525,1.25664,0.95752,0.000176786,0.000176786,0.000176786,,,,,
40,3101.5,1.78307,1.34872,0.97255,0.32886,0.24748,0.22224,0.11794,1.69141,1.25697,0.95459,0.000162649,0.000162649,0.000162649,,,,,
41,3253.11,1.73546,1.32383,0.97226,0.34575,0.24462,0.22342,0.11837,1.69484,1.25761,0.95755,0.000148512,0.000148512,0.000148512,,,,,
42,3369.64,1.72232,1.30466,0.96908,0.34618,0.24135,0.22369,0.11885,1.69396,1.25404,0.95622,0.000134375,0.000134375,0.000134375,,,,,
43,3486.06,1.71684,1.29741,0.96962,0.33431,0.2489,0.2258,0.12042,1.68776,1.25248,0.95638,0.000120238,0.000120238,0.000120238,,,,,
44,3603.36,1.71376,1.29081,0.96669,0.33543,0.2497,0.22503,0.11869,1.68303,1.24806,0.95417,0.0001061,0.0001061,0.0001061,,,,,
45,3719.42,1.70112,1.28404,0.96548,0.3314,0.24997,0.22713,0.12065,1.68446,1.24585,0.95578,9.19632e-05,9.19632e-05,9.19632e-05,,,,,
46,3835.68,1.69987,1.2789,0.96645,0.33904,0.24639,0.2281,0.12148,1.67937,1.24303,0.95365,7.7826e-05,7.7826e-05,7.7826e-05,,,,,
47,3952.79,1.69757,1.27682,0.9654,0.33638,0.24778,0.22737,0.12096,1.67921,1.24172,0.95468,6.36888e-05,6.36888e-05,6.36888e-05,,,,,
48,4069.89,1.69219,1.26543,0.96314,0.34236,0.24594,0.22786,0.12176,1.67726,1.24183,0.95181,4.95516e-05,4.95516e-05,4.95516e-05,,,,,
49,4186.1,1.69129,1.26594,0.96318,0.337,0.24779,0.22984,0.12264,1.67674,1.23995,0.953,3.54144e-05,3.54144e-05,3.54144e-05,,,,,
50,4302.14,1.68981,1.26339,0.96284,0.33845,0.24588,0.22925,0.12288,1.67574,1.24009,0.95273,2.12772e-05,2.12772e-05,2.12772e-05,,,,,
51,148.822,1.7863,1.34306,0.96923,0.32733,0.24488,0.22073,0.11788,1.71167,1.26516,0.96405,0.000237706,0.000237706,0.000237706,,,,,
52,287.363,1.78668,1.35646,0.97166,0.31352,0.22858,0.20947,0.10763,1.74563,1.30165,0.96887,0.000466287,0.000466287,0.000466287,,,,,
53,421.33,1.80285,1.36899,0.97547,0.30805,0.24628,0.21457,0.11212,1.72171,1.29684,0.96731,0.000685443,0.000685443,0.000685443,,,,,
54,551.37,1.79777,1.3738,0.97421,0.32344,0.23997,0.22154,0.11659,1.71712,1.28028,0.96079,0.000671588,0.000671588,0.000671588,,,,,
55,681.209,1.79224,1.36365,0.97152,0.32989,0.24497,0.22048,0.11645,1.70079,1.26817,0.95683,0.000657451,0.000657451,0.000657451,,,,,
56,934.228,1.80686,1.36842,0.97126,0.31387,0.24255,0.21771,0.11303,1.71322,1.28279,0.96177,0.000643314,0.000643314,0.000643314,,,,,
57,1059.76,1.79226,1.36253,0.97085,0.31594,0.24643,0.22248,0.11655,1.70489,1.26779,0.95806,0.000629177,0.000629177,0.000629177,,,,,
58,1186.7,1.78918,1.3586,0.97068,0.35211,0.24203,0.22161,0.11785,1.69945,1.26588,0.95739,0.00061504,0.00061504,0.00061504,,,,,
