epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10933.8,2.0301,1.57094,1.03274,0.05231,0.07099,0.01959,0.00396,1.85743,1.40069,0.99369,0.0005941,0.0005941,0.0005941
43,11739.8,2.0311,1.57651,1.03272,0.03694,0.07001,0.01743,0.00349,1.85992,1.41687,1.00003,0.0005842,0.0005842,0.0005842
44,11951.1,2.04005,1.57772,1.02898,0.0374,0.0674,0.01686,0.00335,1.83578,1.38695,0.99308,0.0005743,0.0005743,0.0005743
45,12116.4,2.02857,1.5681,1.03134,0.04134,0.06914,0.01703,0.00341,1.83661,1.38947,0.99371,0.0005644,0.0005644,0.0005644
46,12296.5,2.01664,1.55311,1.02736,0.04241,0.07018,0.01763,0.00356,1.82933,1.3807,0.99236,0.0005545,0.0005545,0.0005545
47,12724,2.02304,1.55307,1.02734,0.04108,0.06915,0.01767,0.00351,1.85403,1.39756,0.99775,0.0005446,0.0005446,0.0005446
48,12959.8,2.01624,1.55416,1.02748,0.04032,0.06837,0.01779,0.0035,1.82401,1.38911,0.99589,0.0005347,0.0005347,0.0005347
49,13116.1,2.0246,1.55383,1.0248,0.04343,0.07399,0.01743,0.00355,1.82321,1.385,0.99093,0.0005248,0.0005248,0.0005248
50,13279.5,1.99868,1.53833,1.02543,0.04872,0.07543,0.01806,0.00361,1.82644,1.36611,0.99142,0.0005149,0.0005149,0.0005149
51,14287.4,2.00183,1.54037,1.02402,0.03958,0.07365,0.01942,0.00416,1.80389,1.36524,0.98453,0.000505,0.000505,0.000505
52,14461.3,2.00711,1.54097,1.02483,0.0436,0.07258,0.0181,0.00388,1.81409,1.35363,0.98488,0.0004951,0.0004951,0.0004951
53,14655.2,2.01197,1.5448,1.0228,0.03726,0.0728,0.01734,0.00346,1.82212,1.37,0.99222,0.0004852,0.0004852,0.0004852
54,14831,2.00317,1.52883,1.02275,0.04398,0.06904,0.01707,0.00341,1.83308,1.3744,0.9889,0.0004753,0.0004753,0.0004753
55,15014,1.99701,1.53575,1.02192,0.03974,0.0708,0.01637,0.00325,1.82174,1.37373,0.98711,0.0004654,0.0004654,0.0004654
56,15449.9,1.9978,1.53184,1.02142,0.04547,0.07299,0.01787,0.00361,1.80669,1.35775,0.98781,0.0004555,0.0004555,0.0004555
57,15616.2,1.99774,1.52874,1.01931,0.0431,0.07181,0.01815,0.00383,1.81502,1.36421,0.98556,0.0004456,0.0004456,0.0004456
58,15787.6,1.995,1.5262,1.02166,0.04422,0.07686,0.01823,0.00379,1.80355,1.36061,0.98467,0.0004357,0.0004357,0.0004357
59,15979.5,1.99053,1.51775,1.01757,0.0463,0.07213,0.01792,0.00364,1.80351,1.36232,0.9844,0.0004258,0.0004258,0.0004258
60,16148.1,1.99675,1.52776,1.02205,0.0416,0.0737,0.01753,0.0035,1.80118,1.35363,0.9832,0.0004159,0.0004159,0.0004159
61,16322,1.98701,1.52061,1.0201,0.0442,0.07121,0.01674,0.00342,1.80904,1.35391,0.98598,0.000406,0.000406,0.000406
62,16484.2,1.98197,1.51765,1.02024,0.04041,0.07553,0.01734,0.00342,1.79207,1.3399,0.98509,0.0003961,0.0003961,0.0003961
63,16655.4,1.9753,1.50671,1.01865,0.03903,0.0717,0.01709,0.0034,1.80253,1.34831,0.98772,0.0003862,0.0003862,0.0003862
64,16867.3,1.98347,1.50885,1.01597,0.04006,0.07542,0.0174,0.00348,1.78652,1.34291,0.9861,0.0003763,0.0003763,0.0003763
65,17022.2,1.97875,1.50843,1.01586,0.04573,0.07593,0.01766,0.00381,1.79248,1.34964,0.9858,0.0003664,0.0003664,0.0003664
66,17194,1.97801,1.50715,1.01678,0.03886,0.07458,0.01752,0.00355,1.80325,1.34705,0.98335,0.0003565,0.0003565,0.0003565
